Equip PJ PG PE PP GF GC
Almería 38 6 12 20 36 70
Athletic 38 18 4 16 59 55
Atlético 38 17 7 14 62 53
Barcelona 38 30 6 2 95 21
Deportivo 38 10 13 15 31 47
Espanyol 38 15 4 19 46 55
Getafe 38 12 8 18 49 60
Hércules 38 9 8 21 36 60
Levante 38 12 9 17 41 52
Málaga 38 13 7 18 54 68
Mallorca 38 12 8 18 41 56
Osasuna 38 13 8 17 45 46
R_Sociedad 38 14 3 21 49 66
Racing 38 12 9 17 40 53
Real_Madrid 38 29 5 4 102 33
Sevilla 38 17 7 14 62 61
Sporting 38 11 14 13 35 42
Valencia 38 21 8 9 64 44
Villarreal 38 18 8 12 54 44
Zaragoza 38 12 9 17 40 53
