Comarca Interns Venen_de_fora No_consta Marxen_fora
Alt_Camp 0 0 0 840
Alt_Emporda 0 0 0 2171
Alt_Penedes 0 0 0 1853
Alt_Urgell 0 0 0 382
Alta_Ribagorca 0 0 0 75
Anoia 105 76 0 2055
Bages 811 1422 6 2796
Baix_Camp 722 2429 167 3075
Baix_Ebre 0 0 0 1294
Baix_Emporda 0 0 0 2192
Baix_Llobregat 437 918 0 14539
Baix_Penedes 5 3 0 1184
Barcelones 42043 51832 12600 11497
Bergueda 0 0 0 864
Cerdanya 0 0 0 213
Conca_de_Barbera 0 0 0 396
Garraf 273 1085 0 2172
Garrigues 0 0 0 395
Garrotxa 0 0 0 1157
Girones 3231 9026 7 1360
Maresme 825 729 2 8270
Montsia 0 0 0 1129
Noguera 0 0 0 798
Osona 1141 3683 38 2483
Pallars_Jussa 0 0 0 251
Pallars_Sobira 0 0 0 96
Pla_Urgell 0 0 0 736
Pla_de_Estany 0 0 0 763
Priorat 0 0 0 163
Ribera_Ebre 0 0 0 472
Ripolles 0 0 0 530
Segarra 0 0 0 418
Segria 3414 5637 314 1552
Selva 0 0 0 2871
Solsones 0 0 0 289
Tarragones 2954 5788 370 2175
Terra_Alta 0 0 0 210
Urgell 0 0 0 696
Val_Aran 0 0 0 132
Valles_Occidental 13193 26902 888 6169
Valles_Oriental 0 0 0 7868
