Equip PJ PG PE PP GF GC
Athetic 38 12 9 17 44 65
Atlético 38 23 7 8 65 31
Barcelona 38 32 4 2 115 40
Betis 38 16 8 14 57 56
Celta 38 10 7 21 37 52
Deportivo 38 8 11 22 37 62
Espanyol 38 11 11 16 43 52
Getafe 38 13 8 17 43 57
Granada 38 11 9 18 37 54
Levante 38 12 10 16 40 57
Málaga 38 16 9 13 53 50
Mallorca 38 9 9 20 43 72
Osasuna 38 10 9 19 33 50
R_Sociedad 38 18 12 8 70 49
Rayo_Vallecano 38 16 5 17 50 66
Real_Madrid 38 26 7 5 103 42
Sevilla 38 14 8 16 58 54
Valencia 38 19 8 11 67 54
Valladolid 38 11 10 17 49 58
Zaragoza 38 9 7 22 37 62
