;Codigo;Pob2010;Pob-V;Pob-M;km2;Size-sup;Size_pob;Of-banco;ActInd;ActComMinor;GruEstud;GruD
Abrera;8001;11469;5905;5564;20;3;3;7;286;164;1;1
Aiguafreda;8014;2505;1207;1298;8;1;1;3;72;36;1;1
Alella;8003;9557;4702;4855;10;2;3;5;193;78;1;1
AmetlladelVallès;8005;8112;4073;4039;14;2;3;4;236;77;1;1
ArenysdeMar;8006;14688;7202;7486;6;1;3;14;218;258;1;1
ArenysdeMunt;8007;8335;4181;4154;21;3;3;5;188;100;1;1
Argentona;8009;11718;5805;5913;25;3;3;10;350;131;1;2
Artés;8010;5515;2769;2746;18;3;2;6;154;75;1;2
Avià;8011;2223;1107;1116;27;3;1;2;74;19;1;2
Avinyó;8012;2336;1173;1163;63;4;1;3;70;23;1;2
AvinyonetdelPenedès;8013;1685;907;778;29;3;1;2;60;13;1;2
Badalona;8015;218886;109460;109426;21;3;5;170;3734;3635;1;2
BadiadelVallès;8904;13703;6746;6957;1;1;3;4;59;142;1;2
Bagà;8016;2361;1176;1185;43;4;1;4;81;40;1;3
Balenyà;8017;3702;1850;1852;17;2;2;6;133;31;1;3
Balsareny;8018;3485;1758;1727;37;4;2;3;104;58;1;3
BarberàdelVallès;8252;31688;15771;15917;8;1;4;42;962;522;1;3
Barcelona;8019;1619337;770044;849293;98;4;5;1861;22224;35429;1;3
Begues;8020;6348;3161;3187;50;4;2;2;127;51;1;4
Berga;8022;17161;8533;8628;23;3;4;15;321;543;1;4
BiguesiRiells;8023;8664;4446;4218;29;3;3;3;258;64;1;4
Bruc(El);8025;1956;1053;903;47;4;1;0;45;27;2;4
Cabrerad-Anoia;8028;1343;720;623;17;2;1;0;26;5;2;4
CabreradeMar;8029;4504;2264;2240;9;1;2;5;204;63;2;4
Cabrils;8030;7108;3490;3618;7;1;3;2;144;68;2;4
Calaf;8031;3611;1918;1693;9;1;2;5;93;76;2;4
Caldes_d_Estrac;8032;2783;1355;1428;1;1;2;2;30;43;2;5
Caldes_de_Montbui;8033;17019;8535;8484;38;4;4;14;429;264;2;5
Calella;8035;18625;9244;9381;8;1;4;15;198;533;2;5
Calldetenes;8037;2425;1241;1184;6;1;1;2;84;26;2;5
Callús;8038;1845;896;949;12;2;1;2;52;22;2;5
CanetdeMar;8040;13915;6860;7055;6;1;3;11;218;221;2;6
Canovelles;8041;16076;8402;7674;7;1;3;14;385;215;2;6
CànovesiSamalús;8042;2809;1444;1365;29;3;2;1;56;7;2;6
Canyelles;8043;4196;2135;2061;14;2;2;2;116;19;2;6
Capellades;8044;5498;2720;2778;3;1;2;6;109;78;2;6
Cardedeu;8046;16897;8325;8572;12;2;4;17;366;248;2;6
Cardona;8047;5182;2551;2631;66;4;2;4;109;107;2;7
Casserres;8049;1583;789;794;29;3;1;2;41;27;3;7
