;Codigo;Pob2010;Pob-V;Pob-M;km2;Size-sup;Size_pob;Of-banco;ActInd;ActComMinor
Aiguafreda;8014;2505;1207;1298;8;1;1;3;72;36
Avi…;8011;2223;1107;1116;27;3;1;2;74;19
Aviny¢;8012;2336;1173;1163;63;4;1;3;70;23
AvinyonetdelPenedŠs;8013;1685;907;778;29;3;1;2;60;13
Bag…;8016;2361;1176;1185;43;4;1;4;81;40
Bruc(El);8025;1956;1053;903;47;4;1;0;45;27
Cabrerad-Anoia;8028;1343;720;623;17;2;1;0;26;5
Call£s;8038;1845;896;949;12;2;1;2;52;22
Calldetenes;8037;2425;1241;1184;6;1;1;2;84;26
Casserres;8049;1583;789;794;29;3;1;2;41;27
CastelletilaGornal;8058;2240;1148;1092;47;4;1;1;71;12
Castellgal¡;8061;1958;1027;931;17;2;1;0;92;12
CastellnoudeBages;8062;1069;553;516;30;3;1;0;34;2
Castellter‡ol;8064;2387;1182;1205;32;4;1;2;94;29
Castellv¡delaMarca;8065;1635;817;818;29;3;1;1;69;13
Castellv¡deRosanes;8066;1755;884;871;16;2;1;0;86;11
Cercs;8268;1326;672;654;47;4;1;3;51;23
Figar¢-Montmany;8134;1083;543;540;15;2;1;1;30;9
FogarsdelaSelva;8082;1513;792;721;32;4;1;0;39;11
Folgueroles;8083;2216;1126;1090;11;2;1;1;68;15
Fonollosa;8084;1401;720;681;52;4;1;0;34;8
Font-rub¡;8085;1466;771;695;37;4;1;1;85;7
Granada(La);8094;1963;1001;962;6;1;1;1;57;14
Gualba;8097;1235;627;608;23;3;1;1;40;16
GuardioladeBergued…;8099;1024;547;477;61;4;1;2;15;27
Gurb;8100;2526;1298;1228;51;4;1;0;155;33
Mediona;8122;2363;1214;1149;48;4;1;1;61;18
OlesadeBonesvalls;8146;1702;889;813;31;3;1;1;47;6
Olost;8149;1202;598;604;29;3;1;4;40;15
PladelPenedŠs(El);8164;1103;558;545;9;1;1;1;49;17
PobladeClaramunt(La);8165;2295;1178;1117;19;3;1;3;107;18
PobladeLillet(La);8166;1303;648;655;52;4;1;2;31;40
SantaEugŠniadeBerga;8246;2261;1174;1087;6;1;1;1;73;18
