colGPA	soph	junior	senior	senior5	male	campus	business	engineer	age	hsGPA	ACT	job19	job20	drive	bike	walk	voluntr	PC	greek	car	siblings	bgfriend	clubs	skipped	alcohol	gradMI	fathcoll	mothcoll
3	0	0	1	0	0	0	1	0	21	3	21	0	1	1	0	0	0	0	0	1	1	0	0	2	1	1	0	0
3.4	0	0	1	0	0	0	1	0	21	3.2	24	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	1	1
3	0	1	0	0	0	0	1	0	20	3.6	26	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	1
3.5	1	0	0	0	1	1	1	0	19	3.5	27	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
3.6	0	1	0	0	0	0	1	0	20	3.9	28	0	1	0	1	0	0	0	0	1	1	1	0	0	1.5	1	1	0
3	0	0	1	0	1	1	1	0	20	3.4	25	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0
2.7	0	0	0	1	0	0	1	0	22	3.5	25	0	0	0	1	0	0	0	1	1	1	0	1	0	2	1	0	1
2.7	0	0	0	1	0	0	0	0	22	3	22	1	0	1	0	0	0	1	0	0	1	1	0	3	3	1	1	1
2.7	0	0	0	1	0	0	0	0	22	3	21	1	0	1	0	0	0	0	0	1	1	1	1	2	2.5	1	1	1
3.8	1	0	0	0	0	0	1	0	19	4	27	1	0	0	0	1	0	1	0	0	1	0	1	0.5	0.75	1	0	1
2.8	0	0	1	0	1	0	1	0	21	3	19	1	0	0	0	1	0	0	0	1	1	1	0	2	1	1	0	0
2.9	0	0	0	1	0	1	1	0	22	3.1	22	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1
3	0	0	1	0	0	1	1	0	21	3.5	23	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1
2.9	0	1	0	0	1	1	1	0	20	3.8	29	0	0	0	0	1	0	0	0	0	1	0	0	3	2.5	0	1	1
3.3	0	1	0	0	1	0	1	0	20	3.7	25	0	0	1	0	0	0	1	1	0	1	0	0	1	4	1	1	1
2.6	0	0	1	0	1	0	1	0	22	3	21	0	0	1	0	0	0	0	0	1	1	0	1	3	3.5	1	1	0
2.5	1	0	0	0	1	0	0	1	19	3.5	29	0	1	0	0	1	0	1	0	1	1	0	0	4	3	1	1	0
2.5	0	0	1	0	1	0	1	0	22	3	23	0	0	1	0	0	0	0	0	1	1	0	1	5	5	0	1	0
2.4	0	1	0	0	1	0	1	0	20	3	21	0	0	1	0	0	0	0	0	1	1	0	0	2	4	0	1	0
3.6	0	0	1	0	1	0	1	0	21	3.5	29	0	0	0	1	0	0	1	0	1	1	1	1	1	5	1	1	1
2.6	0	1	0	0	0	0	1	0	20	3.5	25	1	0	1	0	0	0	0	1	1	1	1	1	3	2	1	1	1
2.7	0	0	1	0	1	0	0	1	22	3	23	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	1
2.9	0	1	0	0	0	0	1	0	20	3.6	27	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0
3	0	0	1	0	0	1	0	0	21	4	25	1	0	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0
3.3	0	1	0	0	1	0	1	0	20	3.6	33	0	0	0	1	0	1	0	1	0	1	1	0	2	5	1	1	0
3.1	0	1	0	0	0	0	1	0	20	3.3	24	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0
3	0	1	0	0	0	0	1	0	20	3.6	27	1	0	0	1	0	0	1	1	0	1	1	0	2	1	1	0	0
3.2	0	1	0	0	0	0	0	0	20	3.1	20	0	0	1	0	0	0	1	1	1	1	0	1	1	2	1	0	0
3	0	1	0	0	0	0	1	0	20	3.4	21	0	0	0	1	0	0	1	0	1	0	0	0	0	2	1	1	1
3.4	0	1	0	0	0	0	1	0	20	3.7	24	0	0	0	1	0	0	0	1	0	1	1	0	0.5	2	1	1	1
2.9	0	1	0	0	1	0	1	0	21	3.7	20	0	0	0	1	0	0	0	0	1	1	0	0	1	2	1	0	0
3.5	0	0	1	0	0	0	1	0	21	3.3	23	0	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1
3.7	0	0	1	0	1	0	1	0	22	3.3	22	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0
3.5	0	0	1	0	0	0	1	0	20	3.5	24	1	0	0	0	1	0	1	0	1	1	0	1	0	1	1	1	1
2.8	0	0	1	0	1	0	1	0	21	3.2	28	0	1	0	1	0	0	0	0	1	1	1	1	1	3	1	1	1
2.5	0	0	1	0	0	1	1	0	21	3.3	25	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
3.1	0	0	1	0	0	0	1	0	21	3.4	23	0	0	1	0	0	0	1	1	1	1	1	0	0.5	1	1	1	1
3.5	0	1	0	0	1	0	1	0	20	3.5	24	1	0	0	1	0	0	0	1	1	1	0	1	1	3	1	1	0
3.4	0	1	0	0	0	0	1	0	20	3.4	26	1	0	0	0	1	0	1	0	0	1	1	0	0.5	0	1	1	1
3.5	0	0	1	0	0	0	1	0	21	3.7	23	1	0	0	1	0	0	1	1	0	1	0	1	0	2	1	0	1
2.6	0	0	1	0	1	0	1	0	21	2.5	26	0	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0
2.8	0	0	1	0	1	0	1	0	21	3.7	23	0	1	0	0	1	1	1	1	0	1	0	1	0	2	1	1	1
2.6	0	0	1	0	0	0	1	0	21	3	23	0	0	0	0	1	0	0	0	1	1	0	0	2	3	1	0	0
3.5	0	1	0	0	1	0	1	0	20	3	19	0	0	0	0	1	0	1	1	1	1	0	1	1	3	1	0	1
4	0	0	0	1	0	0	1	0	22	4	26	1	0	0	0	1	0	1	0	1	1	1	1	0	0.5	1	1	1
3.8	0	1	0	0	0	0	1	0	20	3.8	26	0	0	0	0	1	0	1	0	1	0	1	1	1	3	1	1	1
2.8	0	1	0	0	1	0	1	0	19	3	21	0	0	0	0	1	0	1	1	1	1	0	0	4	2	1	1	1
3.5	0	0	1	0	0	0	1	0	21	3.7	24	1	0	0	0	1	1	0	1	1	1	1	1	1	2	1	0	0
3	0	0	1	0	0	0	1	0	21	3.4	24	1	0	0	0	1	0	0	1	1	0	0	0	2	1	1	1	1
2.6	0	0	1	0	1	0	1	0	21	2.4	24	1	0	0	1	0	0	0	0	1	1	0	0	1	2	1	0	0
3	0	1	0	0	0	0	1	0	21	3.8	21	1	0	0	1	0	0	0	0	1	1	1	0	1	2	1	0	0
3.7	0	0	0	1	0	0	0	0	22	4	25	1	0	0	1	0	0	0	1	1	1	0	1	1	2	1	0	0
3	0	1	0	0	0	0	1	0	19	3.5	21	1	0	0	0	1	1	0	0	1	1	0	1	0	2	1	1	1
2.9	0	1	0	0	1	0	1	0	20	3.4	27	1	0	0	0	1	0	1	0	1	1	1	1	1	3	1	1	1
