"id","Total.Household.Income","Region","Total.Food.Expenditure","Main.Source.of.Income","Agricultural.Household.indicator","Restaurant.and.hotels.Expenditure","Alcohol.and.tobacco.expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.education.transport.and.communication.expenditure","Miscellaneous.goods.and.special.occasions.expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Sex","Household.Head.Age","Household.Head.Marital.Status","Household.Head.Highest.Grade.Completed","Household.Head.Job.or.Business.Indicator","Household.Head.Occupation","Household.Head.Class.of.Worker","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","Type.of.Building.House","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Car..Jeep..Van","Number.of.Cellular.phone","Number.of.Motorcycle.Tricycle"
1,40137,"XII - SOCCSKSARGEN",39962,"Other sources of Income","0",1090,2330,225,16668,3600,3951,1698,13465,17103,"Male",76,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,0,1,0,"Single house",9,1,1,1,0,0,0
2,131307,"IVA - CALABARZON",31044,"Other sources of Income","0",2960,11732,1310,53238,42000,5896,10584,0,0,"Male",68,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",2,0,0,1,"Single house",65,24,4,1,0,1,0
3,99190,"XI - Davao Region",61501,"Wage/Salaries","0",5459,1625,8428,8418,4200,6235,5476,1866,1866,"Male",32,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,2,0,1,"Single house",36,10,2,0,0,0,0
4,220715,"III - Central Luzon",96880,"Wage/Salaries","0",21402,0,5390,55590,36000,33946,19740,0,0,"Male",58,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",5,2,0,1,"Single house",96,20,2,1,0,1,0
5,414771,"VI - Western Visayas",55037,"Other sources of Income","0",150,3702,3426,267504,13200,11461,17714,38370,46360,"Male",35,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,1,1,0,"Single house",32,15,2,1,0,2,1
6,82955,"V - Bicol Region",47463,"Enterpreneurial Activities","0",8084,320,1043,15210,9000,1916,3870,0,46970,"Male",43,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,1,2,1,"Single house",42,9,2,1,0,0,0
7,67081,"Caraga",29772,"Wage/Salaries","0",900,0,2735,17430,12000,5102,2970,1900,1900,"Male",71,"Married","No Studies","No Job/Business","No Occupation","Unemployed",4,0,0,1,"Single house",75,16,2,1,0,4,0
8,84920,"Caraga",55045,"Enterpreneurial Activities","0",6020,0,2015,13860,9000,4875,7158,0,43520,"Male",30,"Married","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,1,2,0,"Single house",15,4,1,1,0,0,0
9,296413,"VII - Central Visayas",142865,"Other sources of Income","0",29070,0,13895,75888,0,72740,30802,0,940,"Female",29,"Married","Program Studies","No Job/Business","No Occupation","Unemployed",3,1,1,0,"Single house",46,20,2,1,0,1,1
10,277185,"III - Central Luzon",108842,"Enterpreneurial Activities","0",36936,5792,1950,25080,15000,23644,20476,69150,158910,"Male",64,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",7,0,2,2,"Single house",52,15,3,1,0,2,0
11,108975,"XII - SOCCSKSARGEN",55177,"Wage/Salaries","0",9437,1560,1670,10410,4800,16196,13172,0,0,"Male",40,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,2,2,"Single house",30,27,1,1,0,3,0
12,178542,"III - Central Luzon",57459,"Enterpreneurial Activities","0",840,1008,2060,53880,36000,13375,9056,0,71882,"Female",57,"Widowed","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",1,0,0,0,"Single house",100,15,2,1,0,1,0
13,605619,"IVA - CALABARZON",142418,"Other sources of Income","0",4100,18800,30588,133980,78000,88335,19968,0,0,"Male",59,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",5,0,2,0,"Single house",50,30,2,1,1,4,1
14,295496,"VI - Western Visayas",100146,"Enterpreneurial Activities","1",13495,7306,430,61398,18000,30036,13442,0,188090,"Male",38,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",7,1,4,1,"Single house",32,1,1,1,0,1,0
15,308960,"I - Ilocos Region",99142,"Wage/Salaries","0",54975,0,8530,65820,36000,38339,21138,0,0,"Male",32,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",8,1,2,1,"Single house",120,2,3,1,0,4,1
16,183852,"IVB - MIMAROPA",81221,"Wage/Salaries","0",1560,10385,4404,33852,20400,22451,36794,0,0,"Female",80,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",2,0,0,1,"Single house",14,45,3,1,0,1,0
17,467513,"IVA - CALABARZON",141250,"Other sources of Income","0",56835,0,16424,81480,54000,64824,33280,0,0,"Female",44,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,3,"Single house",90,16,3,1,1,3,0
18,80272,"IVA - CALABARZON",39187,"Wage/Salaries","0",7080,7086,2105,12540,8400,16652,1740,0,0,"Male",49,"Married","Elementary Studies","With Job/Business","Secondary Sector","Worked for private establishment",3,0,0,1,"Single house",30,6,1,0,0,1,0
19,74339,"II - Cagayan Valley",34493,"Other sources of Income","1",4730,0,1090,12030,4800,7431,1446,0,0,"Female",51,"Widowed","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",2,0,1,1,"Single house",42,29,2,1,0,0,0
20,162897,"VIII - Eastern Visayas",68627,"Wage/Salaries","0",0,2610,3190,27306,12000,7462,4470,0,25100,"Male",55,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",6,1,1,2,"Single house",45,35,2,1,0,0,2
21,257728,"IVA - CALABARZON",111858,"Wage/Salaries","0",30420,44831,8710,47658,0,71188,30084,0,42258,"Male",39,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,1,"Single house",26,15,1,1,0,4,1
