movie_title;gross;budget;duration;title_year;director_fl;actor1_fl;actor2_fl;actor3_fl;cast_fl;faces_poster;Genre
Avatar†;760505847;237000000;178;2009;0;1000;936;855;4834;0;Action
Pirates of the Caribbean: At World's End†;309404152;300000000;169;2007;563;40000;5000;1000;48350;0;Action
John Carter†;73058679;263700000;132;2012;475;640;632;530;1873;1;Action
Spider-Man 3†;336530303;258000000;156;2007;0;24000;11000;4000;46055;0;Action
Avengers: Age of Ultron†;458991599;250000000;141;2015;0;26000;21000;19000;92000;4;Action
Batman v Superman: Dawn of Justice†;330249062;250000000;183;2016;0;15000;4000;2000;24450;0;Action
Superman Returns†;200069408;209000000;169;2006;0;18000;10000;903;29991;0;Action
Pirates of the Caribbean: Dead Man's Chest†;423032628;225000000;151;2006;563;40000;5000;1000;48486;2;Action
The Lone Ranger†;89289910;215000000;150;2013;563;40000;2000;1000;45757;1;Action
Man of Steel†;291021565;225000000;143;2013;0;15000;3000;748;20495;0;Action
The Chronicles of Narnia: Prince Caspian†;141614023;225000000;150;2008;80;22000;216;201;22697;4;Action
The Avengers†;623279547;220000000;173;2012;0;26000;21000;19000;87697;3;Action
Pirates of the Caribbean: On Stranger Tides†;241063875;250000000;136;2011;252;40000;11000;1000;54083;4;Action
The Amazing Spider-Man†;262030663;230000000;153;2012;464;15000;10000;963;28489;0;Action
The Hobbit: The Desolation of Smaug†;258355354;225000000;186;2013;0;5000;972;773;9152;6;Action
The Golden Compass†;70083519;180000000;113;2007;129;16000;6000;1000;24106;2;Action
Captain America: Civil War†;407197282;250000000;147;2016;94;21000;19000;11000;64798;0;Action
Iron Man 3†;408992272;200000000;195;2013;1000;21000;4000;3000;30426;3;Action
Alice in Wonderland†;334185206;200000000;108;2010;13000;40000;25000;11000;79957;0;Action
Transformers: Revenge of the Fallen†;402076689;200000000;150;2009;0;894;581;464;3218;0;Action
Transformers: Age of Extinction†;245428137;210000000;165;2014;0;974;956;808;3988;2;Action
Oz the Great and Powerful†;234903076;215000000;130;2013;0;44000;15000;11000;73441;4;Action
The Amazing Spider-Man 2†;202853933;200000000;142;2014;464;15000;10000;825;28631;0;Action
TRON: Legacy†;172051787;170000000;125;2010;364;12000;10000;1000;25550;0;Action
Green Lantern†;116593191;200000000;123;2011;258;16000;368;326;17657;2;Action
Terminator Salvation†;125320003;200000000;118;2009;368;23000;3000;988;27468;0;Action
Star Trek Into Darkness†;228756232;190000000;132;2013;14000;19000;981;928;21411;0;Action
Jack the Giant Slayer†;65171860;195000000;114;2013;0;979;557;140;1766;1;Action
Prince of Persia: The Sands of Time†;90755643;200000000;116;2010;179;15000;567;236;16149;2;Action
Pacific Rim†;101785482;190000000;131;2013;0;16000;968;919;19166;0;Action
Transformers: Dark of the Moon†;352358779;195000000;154;2011;0;894;829;581;2593;2;Action
Indiana Jones and the Kingdom of the Crystal Skull†;317011114;185000000;122;2008;14000;11000;1000;1000;14959;2;Action
2012†;166112167;200000000;158;2009;776;1000;468;310;2144;0;Action
Jupiter Ascending†;47375327;176000000;127;2015;0;17000;15000;13000;47334;1;Action
X-Men: Apocalypse†;154985087;178000000;144;2016;0;34000;13000;1000;49684;6;Action
Iron Man†;318298180;140000000;126;2008;4000;21000;12000;4000;39252;3;Action
Edge of Tomorrow†;100189501;178000000;113;2014;218;10000;854;509;12652;1;Action
Iron Man 2†;312057433;200000000;124;2010;4000;21000;19000;4000;48638;4;Action
Maleficent†;241407328;180000000;97;2014;171;11000;2000;846;15516;2;Action
Captain America: The Winter Soldier†;259746958;170000000;136;2014;94;19000;11000;2000;36188;1;Action
Independence Day: Resurgence†;102315545;165000000;120;2016;776;890;812;535;3233;0;Action
Guardians of the Galaxy†;333130696;170000000;121;2014;571;14000;14000;3000;32438;3;Action
The Curious Case of Benjamin Button†;127490802;150000000;166;2008;21000;11000;1000;919;13333;2;Drama
X-Men: First Class†;146405371;160000000;132;2011;905;34000;13000;1000;50983;3;Action
The Hunger Games: Mockingjay - Part 2†;281666058;160000000;137;2015;508;34000;22000;14000;81385;1;Action
The Sorcerer's Apprentice†;63143812;150000000;109;2010;226;12000;418;370;13388;0;Action
Warcraft†;46978995;160000000;123;2016;0;3000;716;648;5505;0;Action
Terminator Genisys†;89732035;155000000;126;2015;230;24000;10000;2000;38873;2;Action
The Chronicles of Narnia: The Voyage of the Dawn Treader†;104383624;155000000;113;2010;150;531;82;59;764;4;Action
Transformers†;318759914;150000000;144;2007;0;662;599;581;2333;0;Action
