Pais;Region;Continent;LifeExpectancy;Population;Surface;AgrLand;Forest;PIBpc;AgrGDP;IndustryGDP;AlcohConsump;BadTeeth;SBPMale;BMImen;BMIFemale;InternetUsers;Mobiles;DependRatio;ChildrenWomen;Births;CO2pc
Afghanistan;SOUTH AND WEST ASIA;AS;46,61;27614718;652230;58,12;1,33;874;39,48;25,28;0,02;2,9;125,21;20,58;20,84;1,13;4,01;96,19;6,99;46,61;0,03
Albania;CENTRAL AND EASTERN EUROPE;EU;75,98;3141800;28750;39,31;28,98;5369;22,80;21,50;6,68;3,02;133,17;26,09;25,47;6,04;48,71;54,23;1,76;14,69;1,46
Algeria;ARAB STATES;AF;71,7;32888449;2381740;17,30;0,96;6011;8,22;61,31;0,96;2,3;129,76;24,27;26,04;5,84;41,54;51,96;2,44;20,8;3,26
Angola;SUB-SAHARAN AFRICA;AF;48,57;16489021;1246700;46,19;47,41;3533;7,65;72,60;5,4;1,7;132,98;21,81;22,83;1,14;9,77;94,88;6,23;42,91;1,16
Argentina;LATIN AMERICA AND THE CARIBBEAN;AM;74,83;38681174;2780400;49,11;12,07;11063;9,40;35,61;10;3,4;127,44;27,19;27,06;17,72;57,28;57,61;2,29;17,37;4,11
Armenia;CENTRAL ASIA;AS;73,17;3065954;29740;56,36;10,04;3903;20,89;45,30;11,35;2,4;134,53;24,81;26,73;5,25;10,37;51,38;1,40;15,22;1,42
Australia;EAST ASIA AND THE PACIFIC;OC;81,44;20403520;7741220;57,94;21,31;32798;3,27;26,77;10,02;0,8;128,46;27,25;26,57;63,03;90,32;48,52;1,79;12,74;18,00
Austria;NORTH AMERICA AND WESTERN EUROPE;EU;79,64;8232196;83870;39,58;46,68;34108;1,61;29,26;13,24;1;131,82;26,21;24,96;58,03;105,31;47,47;1,41;9,14;9,04
Azerbaijan;CENTRAL ASIA;AS;69,01;8587902;86600;57,56;11,33;4648;9,90;63,60;10,6;;131,50;25,06;27,00;8,22;26,72;50,07;2,06;19;4,02
Bahamas;LATIN AMERICA AND THE CARIBBEAN;AM;73,72;319358;13880;1,30;51,45;23021;2,19;15,40;8,76;1,6;132,25;26,89;28,77;25,00;71,32;50,26;1,85;16,86;6,60
Bangladesh;SOUTH AND WEST ASIA;AS;66,94;140587922;144000;71,53;6,69;1268;20,14;27,22;0,17;1;125,55;20,28;20,13;0,24;6,40;59,90;2,60;21,59;0,27
Barbados;LATIN AMERICA AND THE CARIBBEAN;AM;75,96;270503;430;44,19;4,65;15837;3,77;18,38;6,91;0,86;130,25;26,06;28,90;56,07;76,22;40,41;1,50;11,24;5,00
Belarus;CENTRAL AND EASTERN EUROPE;EU;68,84;9825102;207600;44,12;38,05;8541;9,77;41,76;15,13;2,7;135,98;25,71;26,33;;41,94;42,92;1,25;9,97;6,01
Belgium;NORTH AMERICA AND WESTERN EUROPE;EU;79,21;10414209;30530;45,74;22,03;32077;0,83;24,03;10,77;1,1;129,44;26,52;25,15;59,44;91,66;52,24;1,74;11,29;10,28
Belize;LATIN AMERICA AND THE CARIBBEAN;AM;74,54;280947;22970;6,66;72,50;7290;15,30;17,42;6,07;0,6;126,94;26,68;29,36;8,87;32,90;72,10;3,12;24,92;1,41
Benin;SUB-SAHARAN AFRICA;AF;53,9;7633757;112620;31,82;21,25;1390;32,20;13,42;2,15;0,8;132,20;22,18;23,46;1,27;7,81;88,24;5,64;39,6;0,34
Bhutan;SOUTH AND WEST ASIA;AS;64,82;659293;38390;14,64;67,98;3694;23,18;37,28;0,55;1,4;126,84;22,56;22,51;3,85;5,46;63,00;2,91;21,52;1,03
Bolivia;LATIN AMERICA AND THE CARIBBEAN;AM;64,75;9146655;1098580;34,12;54,17;3618;14,38;32,03;5,12;4,7;127,54;24,26;26,51;5,23;26,47;74,30;3,72;27,35;1,13
Bosnia and Herzegovina;CENTRAL AND EASTERN EUROPE;EU;74,84;3781001;51210;42,29;42,68;6506;10,55;25,09;9,63;4,8;132,78;26,25;26,19;21,33;42,17;42,97;1,21;9,17;6,78
