"id"	"repeater"	"n_subject"	"group"	"nationality"	"n_test"	"note"	"y"
1	"No"	5	"Morning"	"Spanish"	9	7	25
2	"No"	5	"Morning"	"Spanish"	12	8.1	55
3	"No"	5	"Morning"	"Spanish"	8	5.2	37
4	"No"	5	"Morning"	"Spanish"	12	7.7	19
5	"No"	5	"Morning"	"Spanish"	11	6.6	35
6	"No"	3	"Afternoon"	"Spanish"	8	1.9	18
7	"No"	5	"Morning"	"Spanish"	12	6.8	57
8	"No"	3	"Afternoon"	"Spanish"	8	4.5	8
9	"No"	5	"Morning"	"Spanish"	11	6.2	15
10	"No"	5	"Morning"	"Spanish"	12	9.7	19
11	"No"	5	"Morning"	"Spanish"	12	9.2	48
12	"No"	4	"Morning"	"Spanish"	12	7.2	50
13	"No"	5	"Morning"	"Foreign"	12	7.5	49
14	"No"	5	"Morning"	"Spanish"	12	8.8	21
15	"Yes"	3	"Afternoon"	"Spanish"	12	2.3	0
16	"No"	3	"Afternoon"	"Spanish"	12	3.7	50
17	"No"	4	"Morning"	"Spanish"	11	5	3
18	"No"	5	"Morning"	"Spanish"	12	6.3	38
19	"No"	5	"Morning"	"Spanish"	12	5	8
20	"No"	5	"Morning"	"Spanish"	12	5.4	29
21	"No"	5	"Morning"	"Spanish"	12	8.2	46
22	"Yes"	5	"Afternoon"	"Spanish"	2	5.9	2
23	"No"	3	"Afternoon"	"Spanish"	7	6.1	3
24	"No"	5	"Morning"	"Spanish"	12	7.9	58
25	"No"	5	"Morning"	"Spanish"	10	6	74
26	"No"	4	"Morning"	"Spanish"	12	7	85
27	"No"	5	"Morning"	"Spanish"	12	9.1	55
28	"No"	4	"Morning"	"Spanish"	11	5.5	37
29	"No"	4	"Afternoon"	"Spanish"	12	8.4	8
30	"No"	5	"Morning"	"Spanish"	12	7.2	26
31	"No"	5	"Morning"	"Spanish"	12	6.9	43
32	"No"	4	"Afternoon"	"Spanish"	8	4.4	36
33	"No"	5	"Afternoon"	"Spanish"	11	7.2	45
34	"No"	4	"Afternoon"	"Spanish"	11	6.2	4
35	"No"	2	"Morning"	"Spanish"	12	6.3	21
36	"No"	5	"Morning"	"Spanish"	12	8.3	71
37	"No"	5	"Morning"	"Spanish"	12	6.5	28
38	"No"	5	"Morning"	"Spanish"	11	5.7	39
39	"No"	5	"Morning"	"Spanish"	12	6.7	46
40	"No"	4	"Afternoon"	"Spanish"	12	8.2	54
41	"No"	3	"Morning"	"Spanish"	12	6.1	48
42	"Yes"	4	"Afternoon"	"Spanish"	1	0.8	0
43	"No"	5	"Morning"	"Spanish"	12	8.1	68
44	"No"	4	"Afternoon"	"Spanish"	8	5.8	0
45	"No"	4	"Morning"	"Spanish"	12	5.5	23
46	"No"	5	"Morning"	"Spanish"	12	5.7	63
47	"No"	5	"Morning"	"Foreign"	12	5.5	34
48	"No"	4	"Morning"	"Spanish"	10	6	6
49	"No"	5	"Morning"	"Spanish"	11	8.1	39
