Estudio;nt;Xt;St;np;Xp;Sp
Salpeter71;1735;9.9651;2.8512;1730;7.6789;2.5919
Nicolosi77;628;12.8056;3.1806;635;9.6521;2.6143
Bateman79;14;13.193;2.8732;9;10.7062;2.5785
Juniper79;185;15.7159;2.3039;192;13.8106;2.4695
Newman85;1757;12.6191;2.5734;1755;9.6819;2.8622
Stoltzfus92;200;16.4214;2.5656;207;13.9476;2.8672
Ernst92;21;22.5024;2.2284;18;19.4041;3.1075
Stempel93;269;7.4374;2.5781;269;4.2264;2.7912
Myer00;485;6.5611;3.3187;482;3.7736;2.5918
Barlow04;111;11.6227;2.0046;101;8.0962;1.542
Mehta06;26;-5.2833;2.1432;23;-8.1944;3.0326
Bischoff07;808;25.1174;2.6587;807;22.679;2.1377
Fitzpatrick08;73;12.7067;2.6458;74;10.0976;2.4598
Guthrie09;15;28.2825;2.5198;15;25.9136;2.8187
