"","id","Hotel_Name","Hotel_Country","Hotel_City","Hotel_lat","Hotel_lng","Businesses_100m","Businesses_1km","Businesses_5km","Room_Type_Level","Guest_Type","Trip_Type","Stay_Duration","Review_Date","Days_Since_Review","Is_Hotel_Holiday","Is_Reviewer_Holiday","Total_Number_of_Reviews","Review_Is_Positive","Review_Positivity_Rate","Reviewer_Nationality","Negative_Review","Review_Total_Negative_Word_Counts","Positive_Review","Review_Total_Positive_Word_Counts","Average_Score","Reviewer_Score","Total_Number_of_Reviews_Reviewer_Has_Given","Additional_Number_of_Scoring","Submitted_from_Mobile"
"483962",483974,"Hotel Berna","IT","Milan",45.4826692,9.2034371,"30","1200","10400","NULL","Group","Leisure trip","5",20151224,"588 day",0,0,4017,1,90.1961,"Bahrain ","Nothing that was negative",5,"I thoroughly enjoyed staying at the hotel certainly well looked after The nice extras lovely food served at the bar at happy hour The yummy croisants avaliable at afternoon tea yummy breakfast and the service in all areas was excellent Would definetly stay again ",46,9.2,9.6,6,384,1
"287107",287119,"Hotel Alimara","ES","Barcelona",41.4337561,2.147327,"2","40","13000","NULL","Group","Leisure trip","1",20160805,"363 day",0,0,1991,1,100,"Lithuania ","No Negative",0,"You get pretty good room for not much money",10,8.1,8.3,12,101,1
"341420",341432,"Banks Mansion All Inclusive Hotel","NL","Amsterdam",52.3653868,4.8931979,"50","3900","9600","NULL","Couple","Leisure trip","3",20160322,"499 day",0,0,803,0,39.5062,"United Kingdom ","We where a little disappointed about the work going on in the living area on our last visit We realise it had to be done sometime but think we should have been told about it before hand and either given a discount or chance to change dates ",49,"Stayed at the Banks Mansion many times It s a lovely hotel with great staff We love the location and the laid back atmosphere not to mention drinks and snacks ",32,9.2,10,6,141,1
"515367",515379,"Holiday Inn London Kensington","GB","London",51.499981,-0.1928791,"29","1100","10600","NULL","Family with older children","Leisure trip","1",20150915,"688 day",0,0,5945,0,37.5,"United Kingdom ","The price Expensive Staff poor understanding of English ",10,"Location and clean comfortable ",6,7.8,8.3,1,1172,1
"330128",330140,"Avenida Palace","ES","Barcelona",41.3891168,2.1671986,"41","4300","14000","NULL","Solo traveler","Business trip","2",20170205,"179 day",0,0,3222,0,44.7368,"United States of America ","Old smelly carpet old furniture it was obvious they remodeled the bathroom which looked great but not the room ",21,"Friendly staff and great location Bathroom Was actually super nice since it had been remodeled ",17,8.4,6.3,1,343,1
"288239",288251,"Petit Palace Boqueria Garden","ES","Barcelona",41.3812223,2.1739622,"115","3800","13800","Art","Family with young children","Leisure trip","2",20170715,"19 days",0,0,3602,1,57.4713,"United States of America ","The unit was clean but there was no sitting area They had a king bed bunk beds and 2 desks Considering this was a family unit I thought that was a serious limitation Be prepared for a noisy street at night Barcelona parties hard and into the early hours The cacophony created by the daily 4AM trash truck will serve as the crescendo All in all we did not get much sleep ",74,"The staff was very friendly The unit was clean May good options for breakfast or elaborate sit down means in the immediate vicinity Loved the ice cream joint next door They also have a convenience store right adjacent to the hotel We were able to purchase water snacks sandwiches there Neighborhood was beautiful This hotel is pretty much on La Rambla one of the most happening places in Barcelona Walking distance from Picasso museum Cathedral of Barcelona and Placa de Catalunya We thoroughly enjoying walking around and felt very safe Closest metro stop was about 200 meters away ",100,8.5,7.5,1,392,0
"173094",173106,"Millennium Gloucester Hotel London","GB","London",51.4935083,-0.1834346,"21","813","13600","Standard","Solo traveler","Leisure trip","2",20170210,"174 day",0,0,5726,0,39.1304,"United Kingdom ","Booking com would not refund us one night when we had to cancel",14,"Staff exceptionally friendly and helpful Hotel very nice",9,7.8,10,1,1444,1
"449923",449935,"Room Mate Giulia","IT","Milan",45.4651371,9.1895249,"55","2000","10800","NULL","Couple","Leisure trip","3",20161111,"265 day",0,0,2011,1,100,"United States of America ","No Negative",0,"The staff was so friendly and we also loved the sauna and Turkish bath ",16,9.3,10,1,254,1
"343990",344002,"NH Amsterdam Museum Quarter","NL","Amsterdam",52.3560923,4.8858229,"1","2400","9400","NULL","Couple","Leisure trip","4",20161015,"292 day",0,0,854,0,44,"United Kingdom ","A little bit tired Could do with recarpetting Poor power on shower ",14,"Location staff friendliness Hotel a little tired Excellent breakfast ",11,8,8.3,2,141,1
"346268",346280,"Courtyard by Marriott Amsterdam Arena Atlas","NL","Amsterdam Zuidoost",52.3101182,4.9472918,"2","155","2000","Standard","Group","Leisure trip","2",20161017,"290 day",0,0,2179,0,23.8095,"United Kingdom ","Staff could have not taken my money from the room Could have offered room service",16,"Comfiest beds ever ",5,8.4,6.7,1,237,1
