"Hotel_Name","Hotel_Country","Hotel_City","Hotel_lat","Hotel_lng","Businesses_100m","Businesses_1km","Businesses_5km","Room_Type_Level","Guest_Type","Trip_Type","Stay_Duration","Review_Date","Days_Since_Review","Is_Hotel_Holiday","Is_Reviewer_Holiday","Total_Number_of_Reviews","Review_Is_Positive","Review_Positivity_Rate","Reviewer_Nationality","Average_Score","Reviewer_Score","Total_Number_of_Reviews_Reviewer_Has_Given","Additional_Number_of_Scoring","Submitted_from_Mobile"
"Hotel Berna","Italia","Milan",45.4826692,9.2034371,"52","12","5","Other","Group","Leisure trip",5,2015-12-24,588,"No","No",4017,"Yes",90.1961,"Bahrain ",9.2,9.6,6,384,"Yes"
"Hotel Alimara","España","Barcelona",41.4337561,2.147327,"36","130","30","Other","Group","Leisure trip",1,2016-08-05,363,"No","No",1991,"Yes",100,"Lithuania ",8.1,8.3,12,101,"Yes"
"Banks Mansion All Inclusive Hotel","Holanda","Amsterdam",52.3653868,4.8931979,"74","125","238","Other","Couple","Leisure trip",3,2016-03-22,499,"No","No",803,"No",39.5062,"United Kingdom ",9.2,10,6,141,"Yes"
"Holiday Inn London Kensington","Gran Bretaña","London",51.499981,-0.1928791,"50","5","7","Other","Family","Leisure trip",1,2015-09-15,688,"No","No",5945,"No",37.5,"United Kingdom ",7.8,8.3,1,1172,"Yes"
"Avenida Palace","España","Barcelona",41.3891168,2.1671986,"64","139","41","Other","Solo traveler","Business trip",2,2017-02-05,179,"No","No",3222,"No",44.7368,"United States of America ",8.4,6.3,1,343,"Yes"
"Petit Palace Boqueria Garden","España","Barcelona",41.3812223,2.1739622,"13","122","38","Deluxe","Family","Leisure trip",2,2017-07-15,19,"No","No",3602,"Yes",57.4713,"United States of America ",8.5,7.5,1,392,"No"
"Millennium Gloucester Hotel London","Gran Bretaña","London",51.4935083,-0.1834346,"38","267","36","Standard","Solo traveler","Leisure trip",2,2017-02-10,174,"No","No",5726,"No",39.1304,"United Kingdom ",7.8,10,1,1444,"Yes"
"Room Mate Giulia","Italia","Milan",45.4651371,9.1895249,"79","55","9","Other","Couple","Leisure trip",3,2016-11-11,265,"No","No",2011,"Yes",100,"United States of America ",9.3,10,1,254,"Yes"
"NH Amsterdam Museum Quarter","Holanda","Amsterdam",52.3560923,4.8858229,"2","67","236","Other","Couple","Leisure trip",4,2016-10-15,292,"No","No",854,"No",44,"United Kingdom ",8,8.3,2,141,"Yes"
"Courtyard by Marriott Amsterdam Arena Atlas","Holanda","Amsterdam",52.3101182,4.9472918,"36","31","96","Standard","Group","Leisure trip",2,2016-10-17,290,"No","No",2179,"No",23.8095,"United Kingdom ",8.4,6.7,1,237,"Yes"
"Grange St Paul s Hotel","Gran Bretaña","London",51.5127625,-0.0997157,"47","41","102","Other","Family","Leisure trip",1,2017-01-17,198,"No","No",2635,"Yes",85.7143,"United Kingdom ",8.5,10,2,788,"No"
"Intercontinental London The O2","Gran Bretaña","London",51.5024348,-0.0002497,"2","6","182","Deluxe","Couple","Leisure trip",1,2016-05-06,454,"No","No",4204,"No",42.8571,"United Kingdom ",9.4,8.8,21,1258,"Yes"
"London Marriott Hotel Regents Park","Gran Bretaña","London",51.5421476,-0.1703073,"36","159","64","Deluxe","Couple","Leisure trip",2,2017-06-27,37,"No","No",1640,"No",0,"United Kingdom ",8.3,9.6,1,397,"No"
"St James Court A Taj Hotel London","Gran Bretaña","London",51.4986732,-0.1376867,"41","91","101","Classic","Family","Leisure trip",1,2017-06-25,39,"No","No",5394,"No",20,"United Kingdom ",8.7,5.4,12,1299,"Yes"
"The Park City Grand Plaza Kensington Hotel","Gran Bretaña","London",51.4954976,-0.1893691,"3","317","16","Other","Couple","Leisure trip",1,2016-03-22,499,"No","No",667,"Yes",69.697,"United Kingdom ",8.3,7.1,10,137,"Yes"
"art otel Amsterdam","Holanda","Amsterdam",52.377743,4.897057,"93","77","237","Other","Couple","Leisure trip",3,2016-01-11,570,"No","No",3158,"Yes",100,"United Kingdom ",9,10,2,482,"Yes"
"Best Western S vres Montparnasse","Francia","Paris",48.843707,2.3155631,"3","17","146","Classic","Couple","Leisure trip",3,2015-08-25,709,"No","No",1544,"No",5.94595,"Switzerland ",7.8,6.7,1,90,"Yes"
"Dikker en Thijs Fenice Hotel","Holanda","Amsterdam",52.364971,4.8839827,"9","94","236","Business","Solo traveler","Business trip",1,2016-01-28,553,"No","No",1971,"Yes",100,"Estonia ",8.4,9.6,7,278,"No"
"Sydney House Chelsea","Gran Bretaña","London",51.4910062,-0.1717691,"3","272","71","Other","Couple","Business trip",1,2016-09-17,320,"No","No",585,"Yes",100,"United Kingdom ",8.7,8.3,1,144,"Yes"
"The Student Hotel Amsterdam City","Holanda","Amsterdam",52.3546649,4.9131641,"84","173","230","Other","Couple","Business trip",2,2017-07-28,6,"No","No",7656,"Yes",63.6364,"United Kingdom ",8.7,9.6,1,975,"Yes"
"Park Plaza London Riverbank","Gran Bretaña","London",51.4913737,-0.1214194,"84","251","110","Other","Couple","Leisure trip",1,2016-03-31,490,"No","No",4684,"Yes",85.2941,"United Kingdom ",8.3,9.6,1,1195,"No"
"Catalonia Atenas","España","Barcelona",41.4110056,2.1866009,"84","203","29","Other","Couple","Couple",1,2017-06-12,52,"No","No",6792,"Yes",100,"France ",7.9,10,7,541,"Yes"
"Park Grand London Lancaster Gate","Gran Bretaña","London",51.5132069,-0.1807816,"32","283","43","Other","Family","Leisure trip",2,2016-06-16,413,"No","No",1519,"Yes",91.6667,"United Kingdom ",8.8,10,8,289,"No"
